DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2015,20024.9,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2016,20329.8,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2017,19597.2,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2018,21964.6,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2019,21597.5,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2020,25417.3,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2021,24776.0,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2022,23813.2,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2023,23079.6,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2024,21822.8,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2000,11567.8,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2001,18322.2,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2002,22013.9,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2003,24530.7,,
