"country","variable","year","forecast","lo80","hi80","lo95","hi95","train_end_used","actual","error","abs_error"
"Netherlands","Defence",2020,1.17236805790645,1.06580228452701,1.2789338312859,1.00938977172285,1.33534634409006,2019,1.3,0.127631942093546,0.127631942093546
"Netherlands","Defence",2021,1.18687099641657,1.0555812140679,1.31816077876524,0.986080601507921,1.38766139132521,2019,1.3,0.113129003583433,0.113129003583433
"Netherlands","Defence",2022,1.19258168724468,1.0320719047482,1.35309146974115,0.947103158469473,1.43806021601988,2019,1.3,0.107418312755323,0.107418312755323
"Netherlands","Defence",2023,1.19483033428345,1.00650619729992,1.38315447126698,0.906813421167316,1.48284724739958,2019,1.3,0.105169665716551,0.105169665716551
"Norway","Defence",2020,1.92265396097661,1.73457017382088,2.11073774813235,1.63500463120151,2.21030329075172,2019,2,0.0773460390233873,0.0773460390233873
"Norway","Defence",2021,1.91481207056654,1.63324111963522,2.19638302149785,1.48418646192506,2.34543767920801,2019,1.7,-0.214812070566535,0.214812070566535
"Norway","Defence",2022,1.91305128423268,1.56622143355404,2.25988113491133,1.38262080108261,2.44348176738275,2019,1.4,-0.513051284232682,0.513051284232682
"Norway","Defence",2023,1.91265592439579,1.51182853290128,2.31348331589029,1.29964332898569,2.52566851980588,2019,1.8,-0.112655924395786,0.112655924395786
"Poland","Defence",2020,1.66351728362025,1.44146321030347,1.88557135693704,1.32391488444846,2.00311968279205,2019,1.7,0.0364827163797456,0.0364827163797456
"Poland","Defence",2021,1.61774444795563,1.36774402283407,1.86774487307719,1.23540179196603,2.00008710394524,2019,1.6,-0.0177444479556326,0.0177444479556326
"Poland","Defence",2022,1.63973865758711,1.38724758817162,1.8922297270026,1.25358688985698,2.02589042531725,2019,1.6,-0.0397386575871106,0.0397386575871106
"Poland","Defence",2023,1.62917026586985,1.37440974712044,1.88393078461927,1.23954767489794,2.01879285684177,2019,2.1,0.470829734130147,0.470829734130147
